Time,Acc
11.474,-0.1521
11.485,-0.015600000000000003
11.494,0.0706
11.507,-0.0013000000000000025
11.527,-0.003700000000000009
11.528,0.2022
11.535,0.1735
11.545,-0.09939999999999999
11.555,0.0634
11.568,0.1663
11.575,-0.0228
11.585,0.0418
11.595,0.0058999999999999955
11.608,-0.08030000000000001
11.629,-0.05160000000000001
11.631,-0.041999999999999996
11.64,0.044199999999999996
11.645,0.022599999999999995
11.655,0.003499999999999996
11.668,0.128
11.675,-0.006100000000000008
11.685,0.0322
11.695,0.1975
11.708,-0.1258
11.728,-0.1832
11.729,-0.1377
11.739,-0.2742
11.745,-0.437
11.756,-0.6812
11.767,-0.5902000000000001
11.776,-0.6739999999999999
11.786,-0.9804999999999999
11.796,-0.8823000000000001
11.809,-0.7865
11.826,-0.9517
11.827,-0.9613
11.836,-0.7888999999999999
11.846,-0.7888999999999999
11.856,-0.6261000000000001
11.868,-0.49920000000000003
11.877,-0.5375000000000001
11.887,-0.3651
11.897,-0.4513
11.908,-0.5086999999999999
11.928,-0.5494000000000001
11.93,-0.5733999999999999
11.938,-0.7121999999999999
11.947,-0.7768999999999999
11.957,-0.8008
11.969,-0.9205000000000001
11.977,-1.057
11.987,-0.8966000000000001
11.997,-1.1408
12.007,-1.0283
12.026,-0.9277
12.027,-1.0283
12.037,-0.8678999999999999
12.047,-0.8271
12.057,-1.0522
12.069,-0.8677999999999999
12.077,-0.7025999999999999
12.087,-0.9803
12.097,-0.9300999999999999
12.109,-0.8989
12.127,-0.9276
12.128,-0.9372
12.137,-1.009
12.147,-1.0113999999999999
12.157,-1.0162
12.167,-0.8582000000000001
12.178,-0.851
12.188,-0.8222
12.198,-0.7791999999999999
12.209,-0.7049000000000001
12.229,-0.7839
12.23,-0.6258999999999999
12.24,-0.7169000000000001
12.248,-0.8988
12.258,-0.8246
12.269,-0.8293999999999999
12.278,-0.9945999999999999
12.288,-1.0544
12.309,-0.9466999999999999
12.311,-0.9754
12.324,-1.0042
12.329,-0.9036
12.339,-0.7910999999999999
12.353,-0.8605
12.359,-0.8029999999999999
12.369,-0.6880999999999999
12.379,-0.8412999999999999
12.389,-0.7886
12.409,-0.7263999999999999
12.41,-0.7958000000000001
12.423,-0.7767
12.429,-0.6760999999999999
12.439,-0.8078000000000001
12.453,-0.7263999999999999
12.459,-0.7072
12.47,-0.6976
12.479,-0.6903999999999999
12.489,-0.6689
12.51,-0.6928000000000001
12.511,-0.6832
12.528,-0.6306
12.529,-0.6113999999999999
12.539,-0.6640999999999999
12.552,-0.6377999999999999
12.559,-0.6593
12.569,-0.6952
12.58,-0.6952
12.59,-0.6137999999999999
12.61,-0.7048000000000001
12.611,-0.7622
12.628,-0.5467
12.63,-0.6400999999999999
12.64,-0.7549999999999999
12.652,-0.5107999999999999
12.66,-0.5827
12.671,-0.6760999999999999
12.68,-0.6496999999999999
12.69,-0.5827
12.71,-0.6856
12.711,-0.7215
12.724,-0.6425000000000001
12.73,-0.4725
12.741,-0.5515000000000001
12.752,-0.6640999999999999
12.761,-0.44380000000000003
12.771,-0.48690000000000005
12.781,-0.6137999999999999
12.791,-0.48690000000000005
12.81,-0.5563
12.812,-0.5252000000000001
12.826,-0.6186
12.831,-0.5730999999999999
12.841,-0.5132000000000001
12.853,-0.5539000000000001
12.861,-0.5635000000000001
12.871,-0.5419
12.881,-0.5779000000000001
12.891,-0.5132000000000001
12.91,-0.5396000000000001
12.912,-0.6113999999999999
12.925,-0.53
12.932,-0.4653
12.941,-0.6281000000000001
12.952,-0.6281000000000001
12.961,-0.49400000000000005
12.972,-0.5563
12.981,-0.6376999999999999
12.992,-0.5370999999999999
13.1,-0.5156000000000001
13.012,-0.5610999999999999
13.027,-0.5395000000000001
13.032,-0.5347
13.042,-0.5707
13.053,-0.5587
13.062,-0.5227999999999999
13.072,-0.5084
13.082,-0.6425000000000001
13.092,-0.5324
13.11,-0.5084
13.112,-0.597
13.128,-0.5730999999999999
13.133,-0.5324
13.142,-0.5993999999999999
13.153,-0.6018000000000001
13.162,-0.5993999999999999
13.173,-0.5683
13.183,-0.5395000000000001
13.193,-0.6256999999999999
13.21,-0.5419
13.212,-0.49169999999999997
13.223,-0.5826
13.233,-0.5707
13.243,-0.5515000000000001
13.253,-0.5826
13.263,-0.6066
13.273,-0.5419
13.283,-0.5036
13.294,-0.5515000000000001
13.31,-0.5730999999999999
13.313,-0.5227999999999999
13.328,-0.5826
13.336,-0.6162000000000001
13.343,-0.5324
13.353,-0.5993999999999999
13.363,-0.6281000000000001
13.374,-0.5467
13.387,-0.5084
13.394,-0.5396000000000001
13.404,-0.4725
13.414,-0.45580000000000004
13.423,-0.5061
13.438,-0.4845
13.443,-0.5156000000000001
13.453,-0.5635000000000001
13.463,-0.5610999999999999
13.474,-0.5730999999999999
13.485,-0.6281000000000001
13.495,-0.5993999999999999
13.503,-0.5467
13.514,-0.5946
13.523,-0.5490999999999999
13.534,-0.48210000000000003
13.544,-0.46769999999999995
13.554,-0.4653
13.564,-0.4318
13.574,-0.5156000000000001
13.585,-0.5156000000000001
13.594,-0.5227999999999999
13.604,-0.5803
13.614,-0.6257999999999999
13.624,-0.5946
13.634,-0.5827
13.644,-0.5754999999999999
13.654,-0.5515000000000001
13.664,-0.5324
13.675,-0.4965
13.684,-0.5107999999999999
13.695,-0.4773
13.705,-0.4582
13.715,-0.4342
13.725,-0.47969999999999996
13.735,-0.44860000000000005
13.745,-0.4725
13.755,-0.5468
13.765,-0.5587
13.775,-0.5993999999999999
13.785,-0.6496999999999999
13.795,-0.6520999999999999
13.805,-0.6282000000000001
13.815,-0.5827
13.825,-0.5347999999999999
13.835,-0.49169999999999997
13.845,-0.3983
13.855,-0.372
13.865,-0.3768
13.875,-0.35760000000000003
13.885,-0.4103
13.895,-0.5468
13.906,-0.5037
13.916,-0.518
13.926,-0.5946
13.936,-0.6545000000000001
13.946,-0.6353
13.956,-0.5610999999999999
13.966,-0.5204
13.976,-0.5730999999999999
13.987,-0.451
13.996,-0.4127
14.006,-0.3121
14.017,-0.4007
14.028,-0.4175
14.044,-0.3935
14.046,-0.47490000000000004
14.057,-0.48690000000000005
14.067,-0.5683
14.077,-0.7239
14.087,-0.597
14.097,-0.6186
14.107,-0.6713
14.118,-0.49169999999999997
14.128,-0.5444
14.146,-0.3863
14.147,-0.2523
14.157,-0.3528
14.169,-0.3073
14.177,-0.2499
14.187,-0.3409
14.197,-0.2978
14.207,-0.47490000000000004
14.228,-0.47969999999999996
14.229,-0.4702
14.243,-0.4103
14.247,-0.4462
14.257,-0.47500000000000003
14.27,-0.3768
14.278,-0.2523
14.288,-0.2667
14.298,-0.2188
14.308,-0.1063
14.328,-0.1015
14.329,-0.09670000000000001
14.341,-0.08710000000000001
14.348,-0.11100000000000002
14.358,-0.1781
14.37,-0.2403
14.378,-0.1925
14.388,-0.1685
14.398,-0.1398
14.409,-0.21639999999999998
14.428,-0.0464
14.429,-0.1302
14.444,-0.05360000000000001
14.448,-0.08710000000000001
14.458,0.0182
14.472,0.054099999999999995
14.479,-0.0368
14.489,0.0422
14.499,-0.1518
14.509,-0.5373000000000001
14.53,-0.5085
14.531,-0.4702
14.546,-0.4822
14.548,-0.3888
14.559,-0.0991
14.571,0.0613
14.579,0.10669999999999999
14.589,0.327
14.599,0.315
14.609,0.4611
14.628,0.32939999999999997
14.629,0.15460000000000002
14.642,0.0876
